ID,Name,Age,Salary,Joining_Date,Department,Email
101,Alice,25,50000.0,2021-07-15,hr,alice@example.com
102,Bob,43,60000.0,06/12/2021,engineering,bob@example.com
103,Charlie,30,50000.0,10 May 2021,hr,charlie@example
105,Eve,28,52000.0,2021-09-01,marketing,eve@example.com
107,George,26,47000.0,12-25-2020,it,george @ example . com
110,John,43,80000.0,2021-07-30,engineering,john@example.com
111,Keira,29,43000.0,2020-06-10,r&d,keira@example
112,Luke,25,27000.0,2019-11-15,hr,luke@example.com
113,Mia,27,50000.0,"March 5, 2021",product,mia@example.com
115,Olivia,45,54000.0,01-14-2019,finance,olivia@example.com
117,Quincy,31,45000.0,2021-07-04,operations,quincy@example.com
118,Riley,34,50000.0,2020-09-09,legal,riley@example.com
119,Unknown,22,30000.0,11-06-2022,support,support@company.com
